2019-12-04 18:14:43.587797:   [INFO  ]   -----------------------------------------------------------------------------
2019-12-04 18:14:43.587949:   [INFO  ]   Hello world!
2019-12-04 18:14:43.588156:   [INFO  ]   Start main processing!
2019-12-04 18:14:43.588323:   [START ]   Start Prepare Traning data
2019-12-04 18:14:43.588406:   [START ]   Initialize parameters Start
2019-12-04 18:14:43.588485:   [DONE  ]   Initialize parameters Done
2019-12-04 18:14:43.588563:   [START ]   Start setup FOLD
2019-12-04 18:14:43.588721:   [START ]   Setup FOLD Done
2019-12-04 18:14:43.588800:   [START ]   Start Reading Ele
2019-12-04 18:14:45.152589:   [DONE  ]   Preprocess ./dataset/corpus/Ele/1.txt Done
2019-12-04 18:14:45.232275:   [DONE  ]   Preprocess ./dataset/corpus/Ele/2.txt Done
2019-12-04 18:14:45.288866:   [DONE  ]   Preprocess ./dataset/corpus/Ele/3.txt Done
2019-12-04 18:14:45.370371:   [DONE  ]   Preprocess ./dataset/corpus/Ele/4.txt Done
2019-12-04 18:14:45.433421:   [DONE  ]   Preprocess ./dataset/corpus/Ele/5.txt Done
2019-12-04 18:14:45.519638:   [DONE  ]   Preprocess ./dataset/corpus/Ele/6.txt Done
2019-12-04 18:14:45.602485:   [DONE  ]   Preprocess ./dataset/corpus/Ele/7.txt Done
2019-12-04 18:14:45.685238:   [DONE  ]   Preprocess ./dataset/corpus/Ele/8.txt Done
2019-12-04 18:14:45.758445:   [DONE  ]   Preprocess ./dataset/corpus/Ele/9.txt Done
2019-12-04 18:14:45.828784:   [DONE  ]   Preprocess ./dataset/corpus/Ele/10.txt Done
2019-12-04 18:14:45.903593:   [DONE  ]   Preprocess ./dataset/corpus/Ele/11.txt Done
2019-12-04 18:14:45.954540:   [DONE  ]   Preprocess ./dataset/corpus/Ele/12.txt Done
2019-12-04 18:14:46.027473:   [DONE  ]   Preprocess ./dataset/corpus/Ele/13.txt Done
2019-12-04 18:14:46.098031:   [DONE  ]   Preprocess ./dataset/corpus/Ele/14.txt Done
2019-12-04 18:14:46.159847:   [DONE  ]   Preprocess ./dataset/corpus/Ele/15.txt Done
2019-12-04 18:14:46.207915:   [DONE  ]   Preprocess ./dataset/corpus/Ele/16.txt Done
2019-12-04 18:14:46.293698:   [DONE  ]   Preprocess ./dataset/corpus/Ele/17.txt Done
2019-12-04 18:14:46.377664:   [DONE  ]   Preprocess ./dataset/corpus/Ele/18.txt Done
2019-12-04 18:14:46.450313:   [DONE  ]   Preprocess ./dataset/corpus/Ele/19.txt Done
2019-12-04 18:14:46.523367:   [DONE  ]   Preprocess ./dataset/corpus/Ele/20.txt Done
2019-12-04 18:14:46.600660:   [DONE  ]   Preprocess ./dataset/corpus/Ele/21.txt Done
