2019-12-07 10:04:44.109727:   [INFO  ]   -----------------------------------------------------------------------------
2019-12-07 10:04:44.109911:   [INFO  ]   Hello world!
2019-12-07 10:04:44.110080:   [INFO  ]   Start main processing!
2019-12-07 10:04:44.110259:   [START ]   Start Prepare Traning data
2019-12-07 10:04:44.110348:   [START ]   Initialize parameters Start
2019-12-07 10:04:44.110514:   [DONE  ]   Initialize parameters Done
2019-12-07 10:04:44.110602:   [START ]   Start setup FOLD
2019-12-07 10:04:44.110879:   [START ]   Setup FOLD Done
2019-12-07 10:04:44.110968:   [START ]   Start setup Coefficient
2019-12-07 10:04:44.981101:   [START ]   Start Reading Ele
2019-12-07 10:04:46.508086:   [DONE  ]   Preprocess ./dataset/corpus/Ele/1.txt Done
2019-12-07 10:04:46.587708:   [DONE  ]   Preprocess ./dataset/corpus/Ele/2.txt Done
2019-12-07 10:04:46.646287:   [DONE  ]   Preprocess ./dataset/corpus/Ele/3.txt Done
2019-12-07 10:04:46.733021:   [DONE  ]   Preprocess ./dataset/corpus/Ele/4.txt Done
2019-12-07 10:04:46.798934:   [DONE  ]   Preprocess ./dataset/corpus/Ele/5.txt Done
2019-12-07 10:04:46.882576:   [DONE  ]   Preprocess ./dataset/corpus/Ele/6.txt Done
2019-12-07 10:04:46.946641:   [DONE  ]   Preprocess ./dataset/corpus/Ele/7.txt Done
2019-12-07 10:04:47.041224:   [DONE  ]   Preprocess ./dataset/corpus/Ele/8.txt Done
2019-12-07 10:04:47.114628:   [DONE  ]   Preprocess ./dataset/corpus/Ele/9.txt Done
2019-12-07 10:04:47.189704:   [DONE  ]   Preprocess ./dataset/corpus/Ele/10.txt Done
2019-12-07 10:04:47.273672:   [DONE  ]   Preprocess ./dataset/corpus/Ele/11.txt Done
2019-12-07 10:04:47.336531:   [DONE  ]   Preprocess ./dataset/corpus/Ele/12.txt Done
2019-12-07 10:04:47.417876:   [DONE  ]   Preprocess ./dataset/corpus/Ele/13.txt Done
2019-12-07 10:04:47.488979:   [DONE  ]   Preprocess ./dataset/corpus/Ele/14.txt Done
2019-12-07 10:04:47.550761:   [DONE  ]   Preprocess ./dataset/corpus/Ele/15.txt Done
2019-12-07 10:04:47.599825:   [DONE  ]   Preprocess ./dataset/corpus/Ele/16.txt Done
2019-12-07 10:04:47.679486:   [DONE  ]   Preprocess ./dataset/corpus/Ele/17.txt Done
2019-12-07 10:04:47.775305:   [DONE  ]   Preprocess ./dataset/corpus/Ele/18.txt Done
2019-12-07 10:04:47.859784:   [DONE  ]   Preprocess ./dataset/corpus/Ele/19.txt Done
2019-12-07 10:04:47.958506:   [DONE  ]   Preprocess ./dataset/corpus/Ele/20.txt Done
2019-12-07 10:04:48.042902:   [DONE  ]   Preprocess ./dataset/corpus/Ele/21.txt Done
2019-12-07 10:04:48.120538:   [DONE  ]   Preprocess ./dataset/corpus/Ele/22.txt Done
2019-12-07 10:04:48.208246:   [DONE  ]   Preprocess ./dataset/corpus/Ele/23.txt Done
2019-12-07 10:04:48.279343:   [DONE  ]   Preprocess ./dataset/corpus/Ele/24.txt Done
2019-12-07 10:04:48.369277:   [DONE  ]   Preprocess ./dataset/corpus/Ele/25.txt Done
2019-12-07 10:04:48.459841:   [DONE  ]   Preprocess ./dataset/corpus/Ele/26.txt Done
2019-12-07 10:04:48.525244:   [DONE  ]   Preprocess ./dataset/corpus/Ele/27.txt Done
2019-12-07 10:04:48.582934:   [DONE  ]   Preprocess ./dataset/corpus/Ele/28.txt Done
2019-12-07 10:04:48.673450:   [DONE  ]   Preprocess ./dataset/corpus/Ele/29.txt Done
2019-12-07 10:04:48.752206:   [DONE  ]   Preprocess ./dataset/corpus/Ele/30.txt Done
2019-12-07 10:04:48.815784:   [DONE  ]   Preprocess ./dataset/corpus/Ele/31.txt Done
2019-12-07 10:04:48.878124:   [DONE  ]   Preprocess ./dataset/corpus/Ele/32.txt Done
2019-12-07 10:04:48.953082:   [DONE  ]   Preprocess ./dataset/corpus/Ele/33.txt Done
2019-12-07 10:04:49.041288:   [DONE  ]   Preprocess ./dataset/corpus/Ele/34.txt Done
2019-12-07 10:04:49.133741:   [DONE  ]   Preprocess ./dataset/corpus/Ele/35.txt Done
2019-12-07 10:04:49.201222:   [DONE  ]   Preprocess ./dataset/corpus/Ele/36.txt Done
2019-12-07 10:04:49.251235:   [DONE  ]   Preprocess ./dataset/corpus/Ele/37.txt Done
2019-12-07 10:04:49.321711:   [DONE  ]   Preprocess ./dataset/corpus/Ele/38.txt Done
2019-12-07 10:04:49.367708:   [DONE  ]   Preprocess ./dataset/corpus/Ele/39.txt Done
2019-12-07 10:04:49.459606:   [DONE  ]   Preprocess ./dataset/corpus/Ele/40.txt Done
2019-12-07 10:04:49.518980:   [DONE  ]   Preprocess ./dataset/corpus/Ele/41.txt Done
2019-12-07 10:04:49.597463:   [DONE  ]   Preprocess ./dataset/corpus/Ele/42.txt Done
2019-12-07 10:04:49.670109:   [DONE  ]   Preprocess ./dataset/corpus/Ele/43.txt Done
2019-12-07 10:04:49.727402:   [DONE  ]   Preprocess ./dataset/corpus/Ele/44.txt Done
2019-12-07 10:04:49.771265:   [DONE  ]   Preprocess ./dataset/corpus/Ele/45.txt Done
2019-12-07 10:04:49.850095:   [DONE  ]   Preprocess ./dataset/corpus/Ele/46.txt Done
2019-12-07 10:04:49.931617:   [DONE  ]   Preprocess ./dataset/corpus/Ele/47.txt Done
2019-12-07 10:04:49.998142:   [DONE  ]   Preprocess ./dataset/corpus/Ele/48.txt Done
2019-12-07 10:04:50.032847:   [DONE  ]   Preprocess ./dataset/corpus/Ele/49.txt Done
2019-12-07 10:04:50.106938:   [DONE  ]   Preprocess ./dataset/corpus/Ele/50.txt Done
2019-12-07 10:04:50.186481:   [DONE  ]   Preprocess ./dataset/corpus/Ele/51.txt Done
2019-12-07 10:04:50.260016:   [DONE  ]   Preprocess ./dataset/corpus/Ele/52.txt Done
2019-12-07 10:04:50.333296:   [DONE  ]   Preprocess ./dataset/corpus/Ele/53.txt Done
2019-12-07 10:04:50.402585:   [DONE  ]   Preprocess ./dataset/corpus/Ele/54.txt Done
2019-12-07 10:04:50.455652:   [DONE  ]   Preprocess ./dataset/corpus/Ele/55.txt Done
2019-12-07 10:04:50.546323:   [DONE  ]   Preprocess ./dataset/corpus/Ele/56.txt Done
2019-12-07 10:04:50.639876:   [DONE  ]   Preprocess ./dataset/corpus/Ele/57.txt Done
2019-12-07 10:04:50.719158:   [DONE  ]   Preprocess ./dataset/corpus/Ele/58.txt Done
2019-12-07 10:04:50.817640:   [DONE  ]   Preprocess ./dataset/corpus/Ele/59.txt Done
2019-12-07 10:04:50.897234:   [DONE  ]   Preprocess ./dataset/corpus/Ele/60.txt Done
2019-12-07 10:04:50.948548:   [DONE  ]   Preprocess ./dataset/corpus/Ele/61.txt Done
2019-12-07 10:04:51.020850:   [DONE  ]   Preprocess ./dataset/corpus/Ele/62.txt Done
2019-12-07 10:04:51.084297:   [DONE  ]   Preprocess ./dataset/corpus/Ele/63.txt Done
2019-12-07 10:04:51.139295:   [DONE  ]   Preprocess ./dataset/corpus/Ele/64.txt Done
2019-12-07 10:04:51.188590:   [DONE  ]   Preprocess ./dataset/corpus/Ele/65.txt Done
2019-12-07 10:04:51.252078:   [DONE  ]   Preprocess ./dataset/corpus/Ele/66.txt Done
2019-12-07 10:04:51.295151:   [DONE  ]   Preprocess ./dataset/corpus/Ele/67.txt Done
2019-12-07 10:04:51.358772:   [DONE  ]   Preprocess ./dataset/corpus/Ele/68.txt Done
2019-12-07 10:04:51.449526:   [DONE  ]   Preprocess ./dataset/corpus/Ele/69.txt Done
2019-12-07 10:04:51.504190:   [DONE  ]   Preprocess ./dataset/corpus/Ele/70.txt Done
2019-12-07 10:04:51.564844:   [DONE  ]   Preprocess ./dataset/corpus/Ele/71.txt Done
2019-12-07 10:04:51.684091:   [DONE  ]   Preprocess ./dataset/corpus/Ele/72.txt Done
2019-12-07 10:04:51.749739:   [DONE  ]   Preprocess ./dataset/corpus/Ele/73.txt Done
2019-12-07 10:04:51.814963:   [DONE  ]   Preprocess ./dataset/corpus/Ele/74.txt Done
2019-12-07 10:04:51.883330:   [DONE  ]   Preprocess ./dataset/corpus/Ele/75.txt Done
2019-12-07 10:04:51.964717:   [DONE  ]   Preprocess ./dataset/corpus/Ele/76.txt Done
2019-12-07 10:04:52.019531:   [DONE  ]   Preprocess ./dataset/corpus/Ele/77.txt Done
